Index;IsIncluded;Filename;StartTime;StopTime;Chapter
1039;TRUE;Bashar - The 1-3-5-7-11 Download  1of2.mp3;0:01:06;0:28:54;(2019-02-25) The 1-3-5-7-11 Download
1040;FALSE;Bashar - The 1-3-5-7-11 Download  2of2.mp3;;;
1041;TRUE;Bashar - The Five Forms of Abundance  1of2.mp3;0:01:05;0:24:34;(2019-03-30) The Five Forms of Abundance
1042;FALSE;Bashar - The Five Forms of Abundance  2of2.mp3;;;
1043;TRUE;The Council of 13 and The Crystal Skulls  1of4.mp3;0:01:22;0:14:59;(2019-04-20) The Council of 13 and The Crystal Skulls
1044;FALSE;The Council of 13 and The Crystal Skulls  2of4.mp3;;;
1045;FALSE;The Council of 13 and The Crystal Skulls  3of4.mp3;;;
1046;FALSE;The Council of 13 and The Crystal Skulls  4of4.mp3;;;
1047;TRUE;Exploring The Portal of Probabilities  1of4.mp3;0:00:59;0:14:16;(2019-05-04) Exploring The Portal of Probabilities
1048;FALSE;Exploring The Portal of Probabilities  2of4.mp3;;;
1049;FALSE;Exploring The Portal of Probabilities  3of4.mp3;;;
1050;FALSE;Exploring The Portal of Probabilities  4of4.mp3;;;
1051;TRUE;The Shifting Window of Contact  1of2.mp3;0:01:09;0:18:56;(2019-06-21) The Shifting Window of Contact
1052;FALSE;The Shifting Window of Contact  2of2.mp3;;;
1053;TRUE;Earth Zero  1of2.mp3;0:01:09;0:15:22;(2019-06-22) Earth Zero
1054;FALSE;Earth Zero  2of2.mp3;;;
1055;TRUE;Will He or Won't He  1of2.mp3;0:01:24;0:13:19;(2019-06-23) Will He or Won't He
1056;FALSE;Will He or Won't He  2of2.mp3;;;
1057;TRUE;Think Outside The Box  1of2.mp3;0:01:04;0:19:47;(2019-09-14) Think Outside The Box
1058;FALSE;Think Outside The Box  2of2.mp3;;;
1059;TRUE;The Children of The Future  1of2.mp3;0:01:07;0:11:23;(2019-09-15) The Children of The Future
1060;FALSE;The Children of The Future  2of2.mp3;;;
1061;TRUE;The Last Days of Atlantis  1of2.mp3;0:01:07;0:23:50;(2019-10-04) The Last Days of Atlantis
1062;FALSE;The Last Days of Atlantis  2of2.mp3;;;
1063;FALSE;Midnight Under The Hunter’s Moon  (Meditation).mp3;;;
1064;TRUE;Midnight Under The Hunter’s Moon  1of2.mp3;0:01:22;0:10:49;(2019-10-05) Midnight Under The Hunter’s Moon
1065;FALSE;Midnight Under The Hunter’s Moon  2of2.mp3;;;
1066;TRUE;The Angels of Orion  1of2.mp3;0:01:15;0:17:42;(2019-10-06) The Angels of Orion
1067;FALSE;The Angels of Orion  2of2.mp3;;;
1068;TRUE;Navigating The Splitting Prism of Parallel Realities  1of4.mp3;0:01:05;0:15:52;(2019-11-16) Navigating The Splitting Prism of Parallel Realities
1069;FALSE;Navigating The Splitting Prism of Parallel Realities  2of4.mp3;;;
1070;FALSE;Navigating The Splitting Prism of Parallel Realities  3of4.mp3;;;
1071;FALSE;Navigating The Splitting Prism of Parallel Realities  4of4.mp3;;;
1072;TRUE;Dreamworld  1of2.mp3;0:01:00;0:16:33;(2019-12-06) Dreamworld
1073;FALSE;Dreamworld  2of2.mp3;;;
1074;FALSE;Orinoco's Quest  1of3.mp3;0:01:05;0:33:07;(2019-12-07) Orinoco's Quest - Book reading
1075;TRUE;Orinoco's Quest  2of3.mp3;0:00:10;0:08:52;(2019-12-07) Orinoco's Quest
1076;FALSE;Orinoco's Quest  3of3.mp3;;;
1077;TRUE;2020 - The Eye of The Storm  1of2.mp3;0:00:56;0:13:58;(2019-12-08) 2020 - The Eye of The Storm
1078;FALSE;2020 - The Eye of The Storm  2of2.mp3;;;
