Index;IsIncluded;Filename;StartTime;StopTime;Chapter
1005;TRUE;Bashar - Stepping from the Shadow  1of3.mp3;0:00:03;0:13:09;(2018-04-14) Stepping from the Shadows
1006;FALSE;Bashar - Stepping from the Shadow  2of3.mp3;;;
1007;FALSE;Bashar - Stepping from the Shadow  3of3 (Holotope).mp3;;;
1008;TRUE;Bashar - The Five Hybrid Races  1of4.mp3;0:06:42;0:25:50;(2018-04-28) The Five Hybrid Races
1009;FALSE;Bashar - The Five Hybrid Races  2of4.mp3;;;
1010;FALSE;Bashar - The Five Hybrid Races  3of4.mp3;;;
1011;FALSE;Bashar - The Five Hybrid Races  4of4.mp3;;;
1012;TRUE;Bashar - Is the Earth Flat  1of2.mp3;0:02:32;0:18:00;(2018-06-15) Is the Earth Flat
1013;FALSE;Bashar - Is the Earth Flat  2of2.mp3;;;
1014;TRUE;Bashar - You Are All Time Travelers  1of2.mp3;0:02:47;0:25:41;(2018-06-16) You Are All Time Travelers
1015;FALSE;Bashar - You Are All Time Travelers  2of2.mp3;;;
1016;TRUE;Bashar - 2027. The Contact Fulcrum  1of2.mp3;0:02:11;0:16:29;(2018-06-17) 2027. The Contact Fulcrum
1017;FALSE;Bashar - 2027. The Contact Fulcrum  2of2.mp3;;;
1018;TRUE;Bashar - 2019. Crossing the Threshold  1of2.mp3;0:03:21;0:13:53;(2018-09-28) 2019. Crossing the Threshold - The Year of Decision and Revelation
1019;FALSE;Bashar - 2019. Crossing the Threshold  2of2.mp3;;;
1020;TRUE;Bashar - The Hour of Power  1of2.mp3;0:10:16;0:34:31;(2018-09-29) The Hour of Power
1021;FALSE;Bashar - The Hour of Power  2of2.mp3;;;
1022;TRUE;Bashar - The First Level of Mastery  1of2.mp3;0:03:56;0:25:41;(2018-09-30) The First Level of Mastery
1023;FALSE;Bashar - The First Level of Mastery  2of2.mp3;;;
1024;TRUE;Bashar - Shedding New Light on Negative Beliefs  1of4.mp3;0:03:43;0:16:47;(2018-11-03) Shedding New Light on Negative Beliefs
1025;FALSE;Bashar - Shedding New Light on Negative Beliefs  2of4.mp3;;;
1026;FALSE;Bashar - Shedding New Light on Negative Beliefs  3of4.mp3;;;
1027;FALSE;Bashar - Shedding New Light on Negative Beliefs  4of4.mp3;;;
1028;FALSE;Bashar_-_Shedding_New_Light_on_Negative_Beliefs__3of4_-_Music.mp3;;;
1029;TRUE;Bashar - Interdimensional Portals and Where To Find Them  1of4.mp3;0:02:56;0:24:17;(2018-11-17) Interdimensional Portals and Where To Find Them
1030;FALSE;Bashar - Interdimensional Portals and Where To Find Them  2of4.mp3;;;
1031;FALSE;Bashar - Interdimensional Portals and Where To Find Them  3of4.mp3;;;
1032;FALSE;Bashar - Interdimensional Portals and Where To Find Them  4of4.mp3;;;
1033;TRUE;Bashar - Parables and Time Crystals  1of2.mp3;0:02:30;0:16:55;(2018-11-30) Parables and Time Crystals
1034;FALSE;Bashar - Parables and Time Crystals  2of2.mp3;;;
1035;TRUE;Bashar - The Black Box Part II  1of2.mp3;0:03:02;0:16:01;(2018-12-01) The Black Box Part II
1036;FALSE;Bashar - The Black Box Part II  2of2.mp3;;;
1037;TRUE;Bashar - Willa and The Winter Spirit  1of2.mp3;0:02:36;0:26:23;(2018-12-02) Willa and The Winter Spirit
1038;FALSE;Bashar - Willa and The Winter Spirit  2of2.mp3;;;
