Index;IsIncluded;Filename;StartTime;StopTime;Chapter
98;FALSE;Bashar - Stretching Your Limits  2of2.aac;;;
99;FALSE;Bashar - Prime Radiant aka God Particle 1.mp3;;;
100;FALSE;Bashar - The Prime Radiant  1of8 - Darryl Intro.mp3;;;
101;FALSE;Bashar - The Prime Radiant  2of8 - Monologue.mp3;;;
102;FALSE;Bashar - The Prime Radiant  3of8.mp3;;;
103;FALSE;Bashar - The Prime Radiant  4of8.mp3;;;
104;FALSE;Bashar - The Prime Radiant  5of8.mp3;;;
105;FALSE;Bashar - The Prime Radiant  6of8.mp3;;;
106;FALSE;Bashar - The Prime Radiant  7of8.mp3;;;
107;FALSE;Bashar - The Prime Radiant  8of8.mp3;;;
108;FALSE;Bashar - The Prime Radiant (Monologue).aac;;;
109;FALSE;Bashar - Believing is Seeing  1of4.mp3;;;
110;FALSE;Bashar - Believing is Seeing  2of4.mp3;;;
111;FALSE;Bashar - Believing is Seeing  3of4.mp3;;;
112;FALSE;Bashar - Believing is Seeing  4of4.mp3;;;
113;FALSE;Bashar - Everyday Miracles  1of2.mp3;;;
114;FALSE;Bashar - Everyday Miracles  2of2.mp3;;;
115;FALSE;Bashar - Monatomics and the White Power Gold  1of4.mp3;;;
116;FALSE;Bashar - Monatomics and the White Power Gold  2of4.mp3;;;
117;FALSE;Bashar - Monatomics and the White Power Gold  3of4.mp3;;;
118;FALSE;Bashar - Monatomics and the White Power Gold  4of4.mp3;;;
119;FALSE;Bashar - Seven Sequential Steps of Manifestation 1of4.mp3;;;
120;FALSE;Bashar - Seven Sequential Steps of Manifestation 2of4.mp3;;;
121;FALSE;Bashar - Seven Sequential Steps of Manifestation 3of4.mp3;;;
122;FALSE;Bashar - Seven Sequential Steps of Manifestation 4of4.mp3;;;
123;FALSE;Bashar - Transformation and Change  1of2.aac;;;
124;FALSE;Bashar - Transformation and Change  2of2.aac;;;
125;FALSE;Bashar - Telepathy  1of3.mp3;;;
126;FALSE;Bashar - Telepathy  2of3.mp3;;;
127;FALSE;Bashar - Telepathy  3of3.mp3;;;
128;FALSE;Bashar - The Unknown as Friend (Monologue).aac;;;
129;FALSE;Bashar - Missile of Anger (Monologue).aac;;;
130;FALSE;Bashar - Intention, Action & Lack of Expectation  1of3.mp3;;;
131;FALSE;Bashar - Intention, Action & Lack of Expectation  2of3.mp3;;;
132;FALSE;Bashar - Intention, Action & Lack of Expectation  3of3.mp3;;;
133;FALSE;Bashar - Intention, Action & Lack of Expectations (Monologue).aac;;;
134;FALSE;Bashar - Manifesting Your Dreams  1of4.mp3;;;
135;FALSE;Bashar - Manifesting Your Dreams  2of4.mp3;;;
136;FALSE;Bashar - Manifesting Your Dreams  3of4.mp3;;;
137;FALSE;Bashar - Manifesting Your Dreams  4of4.mp3;;;
138;FALSE;Bashar - Shifting Your Reality (10 mins olny).mp3;;;
139;FALSE;Bashar - Three Steps of Manifesting  1of3.mp3;;;
140;FALSE;Bashar - Three Steps of Manifesting  2of3.mp3;;;
141;FALSE;Bashar - Three Steps of Manifesting  3of3.mp3;;;
142;FALSE;Bashar - Martians (Monologue).aac;;;
143;FALSE;Bashar - The Year of Guardianship  1of4.mp3;;;
