Index;IsIncluded;Filename;StartTime;StopTime;Chapter
1098;TRUE;Let's Get H.I.G.H  1of2.m4a;0:03:06;0:17:21;(2021-01-30) Let's Get H.I.G.H
1099;FALSE;Let's Get H.I.G.H  2of2.m4a;;;(2021-01-30) Let's Get H.I.G.H - Meditation
1100;TRUE;The Conundrum  1of2.m4a;0:00:48;0:08:04;(2021-02-27) The Conundrum
1101;FALSE;The Conundrum  2of2.m4a;;;
1102;TRUE;The Forest Path, The Animal Path and The Elemental Path  1of2.m4a;0:00:50;0:06:50;(2021-03-27) The Forest Path, The Animal Path and The Elemental Path
1103;FALSE;The Forest Path, The Animal Path and The Elemental Path  2of2.m4a;;;
1104;TRUE;A Step Along The Way  1of2.m4a;0:00:46;0:12:26;(2021-04-27) A Step Along The Way
1105;FALSE;A Step Along The Way  2of2.m4a;;;
1106;TRUE;Tell Them Bashar Sent You  1of2.m4a;0:00:49;0:11:19;(2021-05-22) Tell Them Bashar Sent You
1107;FALSE;Tell Them Bashar Sent You  2of2.m4a;;;
1108;TRUE;Reincarnation, A Deeper Explanation  1of2.m4a;0:00:48;0:10:56;(2021-06-19) Reincarnation, A Deeper Explanation
1109;FALSE;Reincarnation, A Deeper Explanation  2of2.m4a;;;
1110;TRUE;Breaking News  1of2.m4a;0:00:45;0:08:31;(2021-07-24) Breaking News
1111;FALSE;Breaking News  2of2.m4a;;;
1112;TRUE;The Infinite Restaurant  1of2.m4a;0:00:49;0:05:17;(2021-08-21) The Infinite Restaurant
1113;FALSE;The Infinite Restaurant  2of2.m4a;;;
1114;TRUE;The Shells of Earth  1of2.m4a;0:00:43;0:12:25;(2021-09-18) The Shells of Earth
1115;FALSE;The Shells of Earth  2of2.m4a;;;
1116;TRUE;Sweet Dreams  1of2.m4a;0:00:53;0:15:59;(2021-10-23) Sweet Dreams - What Happens When You Sleep
1117;FALSE;Sweet Dreams  2of2.m4a;;;
1118;TRUE;The Archetypes of God  1of2.m4a;0:00:38;0:09:48;(2021-11-20) The Archetypes of God
1119;FALSE;The Archetypes of God  2of2.m4a;;;
1120;TRUE;Mirror Mirror Reflections  1of2.m4a;0:00:48;0:04:22;(2021-12-18) Mirror Mirror Reflections
1121;FALSE;Mirror Mirror Reflections  2of2.m4a;;;
